QUARTER END,OPERATING EARNINGS PER SHR,AS REPORTED EARNINGS SHR,CASH DIVIDENDS PER SHR,SALES PER SHARE,BOOK VAL PER SHARE,CAPITAL EXPENDITURE PER SHARE,PRICE,DIVISOR
2023-03-31,52.54,48.41,17.538714866076422,451.437952452888,1045.2664,25.4601,4109.31244462146,8357.127040348194
2022-12-31,50.37,39.61,17.38798916183415,461.443512504348,1024.5568,29.1623,3839.49658667681,8369.04148763131
2022-09-30,50.35,44.41,16.6577,446.333358766782,996.2929,26.0299,3585.62410354867,8399.95242631743
2022-06-30,46.87,42.74,16.62703824990731,431.389139016003,1001.4726,23.341,3785.38484593113,8427.99206086446
2022-03-31,49.36,45.99,16.25010093695899,413.731947494422,1005.6278,21.7779,4530.41345168347,8451.325198143018
2021-12-31,56.73,53.94,15.783466156640799,423.174180389723,1008.0234,24.0466,4766.1829724283,8467.256805359038
2021-09-30,52.02,49.59,15.359,395.067149155931,983.0424,20.7683,4307.53875078971,8482.42819165651
2021-06-30,52.05,48.39,14.577407230474947,384.505221599448,969.733,19.3574,4297.49663188187,8452.53412379105
2021-03-31,47.41,45.95,14.67724389527684,364.053240167309,938.5315,18.0385,3972.89220843025,8462.18738286587
2020-12-31,38.18,31.44,14.640831622792422,367.478273426108,927.5175,20.9097,3756.0714689572,8428.67362836559
2020-09-30,37.9,32.98,13.96955938587194,346.71021912748,920.3361,17.9383,3362.99898764965,8286.673298783948
2020-06-30,26.79,17.83,14.345752160961448,315.60950948375,901.9722,17.1724,3100.28512865953,8269.11305667657
2020-03-31,19.5,11.88,15.322702966384359,332.587069488945,885.5944,19.8191,2584.5907599343,8289.2748413449
2019-12-31,39.18,35.53,15.21322220089258,369.227858390685,914.4907,23.2296,3230.78195009043,8282.72758739886
2019-09-30,39.81,33.99,14.801734274295193,355.01641754705,902.9409,21.0323,2976.73727174433,8299.999411820903
2019-06-28,40.14,34.93,14.242944144807993,351.911744827761,884.740914293221,20.6567047658182,2941.76,8302.3379796843
